"MARPI Real Personal Income by MSA 1/"
"Real per capita personal income (Chained 2012 dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"18140","Columbus, OH (Metropolitan Statistical Area)",50781
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",42933
"18700","Corvallis, OR (Metropolitan Statistical Area)",42060
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",50171
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",42025
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",50618
"19140","Dalton, GA (Metropolitan Statistical Area)",39923
"19180","Danville, IL (Metropolitan Statistical Area)",45079
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",46044
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",50402
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)",48854
"19460","Decatur, AL (Metropolitan Statistical Area)",42306
"19500","Decatur, IL (Metropolitan Statistical Area)",50546
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",41049
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",54180
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",52631
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",50341
"20020","Dothan, AL (Metropolitan Statistical Area)",44421
"20100","Dover, DE (Metropolitan Statistical Area)",41181
"20220","Dubuque, IA (Metropolitan Statistical Area)",48665
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",46615
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",51029
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",39586
"20740","Eau Claire, WI (Metropolitan Statistical Area)",47623
"20940","El Centro, CA (Metropolitan Statistical Area)",38838
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",45769
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",48316
"21300","Elmira, NY (Metropolitan Statistical Area)",42421
"21340","El Paso, TX (Metropolitan Statistical Area)",36485
"21420","Enid, OK (Metropolitan Statistical Area) 4/",44500
"21500","Erie, PA (Metropolitan Statistical Area)",43368
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)",42711
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",48608
"21820","Fairbanks, AK (Metropolitan Statistical Area)",47967
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",52486
"22140","Farmington, NM (Metropolitan Statistical Area)",35137
"22180","Fayetteville, NC (Metropolitan Statistical Area)",37522
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",66527
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",44831
"22420","Flint, MI (Metropolitan Statistical Area)",41457
"22500","Florence, SC (Metropolitan Statistical Area)",42625
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",40962
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",50833
"22660","Fort Collins, CO (Metropolitan Statistical Area)",47846
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",41231
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",46968
"23420","Fresno, CA (Metropolitan Statistical Area)",40821
"23460","Gadsden, AL (Metropolitan Statistical Area)",41009
"23540","Gainesville, FL (Metropolitan Statistical Area)",41313
"23580","Gainesville, GA (Metropolitan Statistical Area)",44906
"23900","Gettysburg, PA (Metropolitan Statistical Area)",46411
"24020","Glens Falls, NY (Metropolitan Statistical Area)",44001
"24140","Goldsboro, NC (Metropolitan Statistical Area)",40837
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",50373
"24260","Grand Island, NE (Metropolitan Statistical Area)",47287
