Metro Name,Income
"El Centro, CA (Metropolitan Statistical Area)",38838
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",45769
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",48316
"Elmira, NY (Metropolitan Statistical Area)",42421
"El Paso, TX (Metropolitan Statistical Area)",36485
"Enid, OK (Metropolitan Statistical Area) 4/",44500
"Erie, PA (Metropolitan Statistical Area)",43368
"Eugene-Springfield, OR (Metropolitan Statistical Area)",42711
"Evansville, IN-KY (Metropolitan Statistical Area)",48608
"Fairbanks, AK (Metropolitan Statistical Area)",47967
"Fargo, ND-MN (Metropolitan Statistical Area)",52486
"Farmington, NM (Metropolitan Statistical Area)",35137
"Fayetteville, NC (Metropolitan Statistical Area)",37522
"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",66527
"Flagstaff, AZ (Metropolitan Statistical Area)",44831
"Flint, MI (Metropolitan Statistical Area)",41457
"Florence, SC (Metropolitan Statistical Area)",42625
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",40962
"Fond du Lac, WI (Metropolitan Statistical Area)",50833
"Fort Collins, CO (Metropolitan Statistical Area)",47846
"Fort Smith, AR-OK (Metropolitan Statistical Area)",41231
"Fort Wayne, IN (Metropolitan Statistical Area)",46968
"Fresno, CA (Metropolitan Statistical Area)",40821
"Gadsden, AL (Metropolitan Statistical Area)",41009
"Gainesville, FL (Metropolitan Statistical Area)",41313
"Gainesville, GA (Metropolitan Statistical Area)",44906
"Gettysburg, PA (Metropolitan Statistical Area)",46411
"Glens Falls, NY (Metropolitan Statistical Area)",44001
"Goldsboro, NC (Metropolitan Statistical Area)",40837
"Grand Forks, ND-MN (Metropolitan Statistical Area)",50373
"Grand Island, NE (Metropolitan Statistical Area)",47287
"Grand Junction, CO (Metropolitan Statistical Area)",42742
"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",49159
"Grants Pass, OR (Metropolitan Statistical Area)",40193
"Great Falls, MT (Metropolitan Statistical Area)",46201
"Greeley, CO (Metropolitan Statistical Area)",42319
"Green Bay, WI (Metropolitan Statistical Area)",51923
"Greensboro-High Point, NC (Metropolitan Statistical Area)",44183
"Greenville, NC (Metropolitan Statistical Area)",43093
"Greenville-Anderson, SC (Metropolitan Statistical Area)",45079
"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",38230
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",39931
"Hammond, LA (Metropolitan Statistical Area)",41322
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",34722
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",48985
"Harrisonburg, VA (Metropolitan Statistical Area)",41233
"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",57353
"Hattiesburg, MS (Metropolitan Statistical Area)",43126
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",41751
"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",50464
"Hinesville, GA (Metropolitan Statistical Area)",34403
"Homosassa Springs, FL (Metropolitan Statistical Area)",39994
"Hot Springs, AR (Metropolitan Statistical Area)",42679
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",43803
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",49957
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",42077
"Huntsville, AL (Metropolitan Statistical Area)",50131
"Idaho Falls, ID (Metropolitan Statistical Area)",45258
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",53937
"Iowa City, IA (Metropolitan Statistical Area)",51174
"Ithaca, NY (Metropolitan Statistical Area)",38599
"Jackson, MI (Metropolitan Statistical Area)",40755
"Jackson, MS (Metropolitan Statistical Area)",44256
"Jackson, TN (Metropolitan Statistical Area)",44584
"Jacksonville, FL (Metropolitan Statistical Area)",47638
"Jacksonville, NC (Metropolitan Statistical Area)",46053
"Janesville-Beloit, WI (Metropolitan Statistical Area)",44429
"Jefferson City, MO (Metropolitan Statistical Area)",49493
"Johnson City, TN (Metropolitan Statistical Area)",42085
"Johnstown, PA (Metropolitan Statistical Area)",44598
"Jonesboro, AR (Metropolitan Statistical Area)",40750
"Joplin, MO (Metropolitan Statistical Area)",42595
"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",41911
"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",49019
"Kankakee, IL (Metropolitan Statistical Area)",39602
"Kansas City, MO-KS (Metropolitan Statistical Area)",52765
"Kennewick-Richland, WA (Metropolitan Statistical Area)",42371
"Killeen-Temple, TX (Metropolitan Statistical Area)",42491
"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area)",42703
"Kingston, NY (Metropolitan Statistical Area)",44415
"Knoxville, TN (Metropolitan Statistical Area)",46807
"Kokomo, IN (Metropolitan Statistical Area)",43879
"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",49725
"Lafayette, LA (Metropolitan Statistical Area)",45365
"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",39211
"Lake Charles, LA (Metropolitan Statistical Area)",48979
"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",33076
"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",35351
"Lancaster, PA (Metropolitan Statistical Area)",47546
"Lansing-East Lansing, MI (Metropolitan Statistical Area)",41227
"Laredo, TX (Metropolitan Statistical Area)",32389
"Las Cruces, NM (Metropolitan Statistical Area)",37227
"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",43933
"Lawrence, KS (Metropolitan Statistical Area)",43518
"Lawton, OK (Metropolitan Statistical Area)",42054
"Lebanon, PA (Metropolitan Statistical Area)",45814
"Lewiston, ID-WA (Metropolitan Statistical Area)",45689
"Lewiston-Auburn, ME (Metropolitan Statistical Area)",39634
"Lexington-Fayette, KY (Metropolitan Statistical Area)",48345
"Lima, OH (Metropolitan Statistical Area)",45170
"Lincoln, NE (Metropolitan Statistical Area)",49387
"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",46036
"Logan, UT-ID (Metropolitan Statistical Area)",38542
"Longview, TX (Metropolitan Statistical Area)",41181
"Longview, WA (Metropolitan Statistical Area)",43629
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",49222
"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",50346
"Lubbock, TX (Metropolitan Statistical Area)",41162
"Lynchburg, VA (Metropolitan Statistical Area)",41112
"Macon-Bibb County, GA (Metropolitan Statistical Area)",43178
"Madera, CA (Metropolitan Statistical Area)",38358
"Madison, WI (Metropolitan Statistical Area)",55655
"Manchester-Nashua, NH (Metropolitan Statistical Area)",51081
"Manhattan, KS (Metropolitan Statistical Area)",45986
"Mankato, MN (Metropolitan Statistical Area)",47218
"Mansfield, OH (Metropolitan Statistical Area)",41845
"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",28793
"Medford, OR (Metropolitan Statistical Area)",43732
"Memphis, TN-MS-AR (Metropolitan Statistical Area)",46575
"Merced, CA (Metropolitan Statistical Area)",38521
"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",47666
"Michigan City-La Porte, IN (Metropolitan Statistical Area)",46051
"Midland, MI (Metropolitan Statistical Area)",60764
"Midland, TX (Metropolitan Statistical Area)",102904
"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",53933
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",55918
"Missoula, MT (Metropolitan Statistical Area)",46784
"Mobile, AL (Metropolitan Statistical Area)",40178
"Modesto, CA (Metropolitan Statistical Area)",41017
"Monroe, LA (Metropolitan Statistical Area)",43197
"Monroe, MI (Metropolitan Statistical Area)",46583
"Montgomery, AL (Metropolitan Statistical Area)",44365
"Morgantown, WV (Metropolitan Statistical Area)",42660
"Morristown, TN (Metropolitan Statistical Area)",40538
"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",48283
"Muncie, IN (Metropolitan Statistical Area)",39449
"Muskegon, MI (Metropolitan Statistical Area)",40582
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",38850
"Napa, CA (Metropolitan Statistical Area)",53636
"Naples-Marco Island, FL (Metropolitan Statistical Area)",81367
"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",55229
"New Bern, NC (Metropolitan Statistical Area)",47255
"New Haven-Milford, CT (Metropolitan Statistical Area)",45981
"New Orleans-Metairie, LA (Metropolitan Statistical Area)",49716
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",56688
"Niles, MI (Metropolitan Statistical Area)",49102
"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",51093
"Norwich-New London, CT (Metropolitan Statistical Area)",52769
"Ocala, FL (Metropolitan Statistical Area)",37500
"Ocean City, NJ (Metropolitan Statistical Area)",52710
"Odessa, TX (Metropolitan Statistical Area)",42206
"Ogden-Clearfield, UT (Metropolitan Statistical Area)",41997
"Oklahoma City, OK (Metropolitan Statistical Area)",47744
"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",43298
"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",56718
"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",40335
"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",48567
"Owensboro, KY (Metropolitan Statistical Area)",43177
"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",47657
"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",42960
"Panama City, FL (Metropolitan Statistical Area)",41964
"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",42162
"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",42801
"Peoria, IL (Metropolitan Statistical Area)",48718
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",55052
"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",43008
"Pine Bluff, AR (Metropolitan Statistical Area)",38141
"Pittsburgh, PA (Metropolitan Statistical Area)",55022
"Pittsfield, MA (Metropolitan Statistical Area)",52654
"Pocatello, ID (Metropolitan Statistical Area)",39557
"Portland-South Portland, ME (Metropolitan Statistical Area)",50990
"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",50444
"Port St. Lucie, FL (Metropolitan Statistical Area)",50730
"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area) 4/",(NA)
"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",37954
"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",49683
"Provo-Orem, UT (Metropolitan Statistical Area)",38030
"Pueblo, CO (Metropolitan Statistical Area)",39105
"Punta Gorda, FL (Metropolitan Statistical Area)",39639
"Racine, WI (Metropolitan Statistical Area)",48295
"Raleigh-Cary, NC (Metropolitan Statistical Area)",51563
"Rapid City, SD (Metropolitan Statistical Area)",50491
"Reading, PA (Metropolitan Statistical Area)",46691
"Redding, CA (Metropolitan Statistical Area)",43809
"Reno, NV (Metropolitan Statistical Area)",53979
"Richmond, VA (Metropolitan Statistical Area)",54645
"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",34397
"Roanoke, VA (Metropolitan Statistical Area)",47504
"Rochester, MN (Metropolitan Statistical Area)",52926
"Rochester, NY (Metropolitan Statistical Area)",48012
"Rockford, IL (Metropolitan Statistical Area)",45228
"Rocky Mount, NC (Metropolitan Statistical Area)",42457
"Rome, GA (Metropolitan Statistical Area)",43436
"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",50283
"Saginaw, MI (Metropolitan Statistical Area)",40361
